date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,59.5,59.5,57.5,56.0,54.5,51.5,50.0,48.5
2026-01-10T00:00:00.000Z,0,64.5,64.0,62.0,60.0,58.0,54.0,52.0,49.5
2026-01-20T00:00:00.000Z,0,69.5,66.5,64.5,63.0,61.5,57.0,54.0,51.5
2026-01-31T00:00:00.000Z,0,59.0,62.0,63.5,63.0,62.0,58.5,56.0,52.5
2026-02-10T00:00:00.000Z,0,55.5,55.5,58.0,59.0,59.0,57.5,55.5,53.0
2026-02-20T00:00:00.000Z,0,53.5,55.0,56.0,57.5,58.0,57.0,56.0,53.0
2026-02-28T00:00:00.000Z,0,46.5,47.5,50.5,52.5,53.5,55.0,54.5,52.5
2026-03-10T00:00:00.000Z,0,43.5,45.0,47.0,49.0,50.0,53.0,53.0,51.5
2026-03-20T00:00:00.000Z,0,49.0,49.5,49.0,49.5,50.0,52.0,52.5,51.5
2026-04-10T00:00:00.000Z,0,51.5,51.5,51.5,51.0,51.0,52.0,52.0,51.5
2026-04-20T00:00:00.000Z,0,62.0,60.5,58.0,56.0,55.0,54.0,53.5,52.5
2026-04-30T00:00:00.000Z,0,40.5,42.5,47.0,48.5,49.5,51.0,51.5,51.5
