SHIP TO;promedio_vol_pico_anual;km;ha;LATITUD;LONGITUD;zona;km_calculado;ha_real_lograda;ciudad
189087;2755.8102;29.61758989;275581.02;-32.70273266;-60.76578563;6;49;274267.2937;PUERTO SAN MARTIN
194432;3839.6916;34.96014583;383969.16;-32.80799643;-61.40595923;6;39;326792.4147;CA�ADA DE GOMEZ
224258;810.7518;16.06456701;81075.18;-38.374569;-60.298357;12;16;55392.37988;TRES ARROYOS
229270;3633.6868;34.00938741;363368.68;-33.07105086;-64.34170718;4;39;330707.119;RIO CUARTO
229273;570.1202;13.47126186;57012.02;-32.605283;-62.674687;6;13;32507.7768;BELL VILLE
229546;938.1022;17.28025476;93810.22;-35.05686;-60.27106;7;22;70355.97924;ALBERTI
229769;395.8638;11.22530005;39586.38;-38.51759;-58.74756;12;11;20493.97662;NECOCHEA
229804;659.7406;14.49144421;65974.06;-32.807758;-58.523476;8;19;55353.25833;GUALEGUAYCHU
229807;990.6986;17.75807305;99069.86;-26.87857;-64.99308;1;22;84469.76956;LOS RALOS
229901;671.018;14.61477551;67101.8;-34.826643;-64.360473;4;14;42455.96764;HUINCA RENANCO
230010;598.8922;13.80700214;59889.22;-35.27209176;-59.78808658;10;18;48180.3084;NORBERTO DE LA RIESTRA
230068;1193.779;19.49337471;119377.9;-35.18797191;-58.22127641;14;44;112081.3502;BRANDSEN
230352;1235.9834;19.83496245;123598.34;-35.84800471;-61.91039976;9;29;122936.9823;PEHUAJO
230366;951.4322;17.40259392;95143.22;-39.87653501;-62.66202161;11;22;74968.03132;VILLALONGA
230381;675.0474;14.65859001;67504.74;-31.63502;-64.43392;3;29;65796.09219;ALTA GRACIA
230667;809.5312;16.05246972;80953.12;-27.82237059;-64.23455641;1;36;79299.22772;SANTIAGO DEL ESTERO
230709;312.4634;9.972972941;31246.34;-38.704821;-62.338724;11;19;18821.09379;BAHIA BLANCA
230801;1289.3102;20.25833614;128931.02;-32.104659;-63.029013;3;25;113742.1611;LA PLAYOSA
230848;1031.8686;18.12329928;103186.86;-35.684538;-63.78318;9;23;101840.7305;GENERAL PICO
230918;1674.1876;23.08485357;167418.76;-35.983547;-62.688971;9;33;158529.6389;TRENQUE LAUQUEN
230958;1294.9812;20.30284016;129498.12;-34.27167;-60.51229;7;20;83285.41758;SALTO
230986;761.2402;15.56631881;76124.02;-26.50056;-61.20038;2;20;54458.99675;PAMPA DEL INFIERNO
230993;2450.5594;27.92914756;245055.94;-33.69784;-61.95258;7;37;235589.9263;VENADO TUERTO
230994;3335.2624;32.5829249;333526.24;-30.247778;-57.670278;15;77;172907.1587;MONTE CASEROS
231003;616.3358;14.00663337;61633.58;-30.91227;-64.07371;3;14;38958.5705;SINSACATE 
231048;1915.594;24.69316724;191559.4;-30.82153719;-58.04566582;8;54;182487.4063;CHAJARI
231362;1124.9968;18.923467;112499.68;-27.412799;-58.996462;2;63;79961.22925;RESISTENCIA
231368;1178.843;19.37104492;117884.3;-38.02629;-61.38508;12;29;101316.557;CNEL. PRINGLES
231426;1386.9178;21.0111791;138691.78;-36.78816;-63.357773;11;31;102600.055;VILLA MAZA
231457;2380.2968;27.52584247;238029.68;-31.46239743;-60.39496809;5;67;236889.1026;S. ROSA DE CALCHINES
231458;843.9906;16.39056289;84399.06;-33.63077951;-65.52295598;13;21;68309.17446;VILLA MERCEDES
231460;966.1412;17.53659874;96614.12;-34.14817;-63.36452;4;22;89410.13744;LABOULAYE
231470;652.4744;14.41142089;65247.44;-30.89264277;-63.12630933;3;14;41265.2668;VILLA FONTANA
231527;916.1312;17.0766981;91613.12;-36.56931768;-62.60947452;11;22;83044.49125;GARRE
231528;620.8192;14.05748516;62081.92;-37.35775111;-59.02432423;12;19;55779.8358;TANDIL
231584;517.4722;12.83419328;51747.22;-24.27738;-65.19825;1;37;48950.35304;PALPALA
231599;681.868;14.73245823;68186.8;-28.47017;-65.69341;1;59;7425.75496;VALLE VIEJO
231608;741.1054;15.3590747;74110.54;-24.69034882;-65.04160219;1;35;61015.21702;GUEMES
231612;554.5882;13.2864934;55458.82;-30.36881424;-61.91269963;5;13;36182.734;SAN GUILLERMO
231656;944.4304;17.33844091;94443.04;-27.65724;-62.42542;2;22;73645.32655;QUIMILI
231667;2101.8442;25.86576479;210184.42;-34.138317;-59.055248;7;55;186887.7239;ZARATE
231668;834.2678;16.29587949;83426.78;-34.83944;-61.49384;9;26;80934.49526;LINCOLN
231815;476.104;12.31050812;47610.4;-27.00698;-54.51065;15;57;0;SAN VICENTE
231849;931.1106;17.21574016;93111.06;-29.22864164;-59.72077545;5;32;83247.68685;RECONQUISTA
231853;873.2486;16.67224227;87324.86;-35.03296551;-62.98514641;9;16;54087.31872;GRAL. VILLEGAS
231854;268.7416;9.24895173;26874.16;-27.42361539;-58.70915695;1;54;0;CORRIENTES
231873;744.495;15.39415859;74449.5;-31.23970336;-60.7533071;5;20;51318.80935;NELSON
231879;677.234;14.68231172;67723.4;-37.59308482;-57.68764009;12;19;43380.00391;CNEL. VIDAL
231895;691.3048;14.8340538;69130.48;-32.54467;-63.48418;3;14;40693.32721;LUCA
231938;965.422;17.53007036;96542.2;-34.28256;-62.69335;7;42;87054.23769;RUFINO
231995;1035.59425;18.15598766;103559.425;-37.46685;-61.95142;11;18;64565.23228;CORONEL SUAREZ
234076;680.18525;14.71426823;68018.525;-29.22404807;-61.74278365;5;24;65789.73557;TOSTADO
234169;536.94;13.07338175;53694;-32.72749536;-65.27294476;13;18;36940.0687;TILISARAO
234374;1294.842333;20.30175154;129484.2333;-31.17617958;-62.10207036;3;25;122997.7212;FREYRE
234462;955.686;17.44145355;95568.6; -31.607441; -58.52513;8;22;85216.63889;SAN SALVADOR
